,,,,Command Area,,Non command Area,,Poor quality area,,,,,
,,,,Residential,,Residential,,Residential,,,,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total,,,
85,06-D-49-04,Kri-D-49-Nandigama,S.Amaravaram,12,2,0,0,,,14,,,
86,06-D-49-04,Kri-D-49-Nandigama,Moguluru,51,2,0,0,,,53,,,
87,06-D-49-04,Kri-D-49-Nandigama,Munnaluru,0,2,0,0,,,2,,,
88,06-D-51-19,Kri-D-51-Chandarlapadu,Vedadri,0,0,17,2,,,19,,,
89,06-D-51-19,Kri-D-51-Chandarlapadu,Peddavaram,29,2,0,0,,,31,,,
90,06-D-51-19,Kri-D-51-Chandarlapadu,Katrenipalli,22,1,0,0,,,23,,,
91,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetla,23,2,0,0,,,25,,,
92,06-D-51-19,Kri-D-51-Chandarlapadu,Brahma botlapalem,0,0,4,0,,,4,,,
93,06-D-51-19,Kri-D-51-Chandarlapadu,Konayapalem,0,0,44,2,,,46,,,
94,06-D-51-19,Kri-D-51-Chandarlapadu,Gudimetlapalem,0,0,0,1,,,1,,,
95,06-D-51-19,Kri-D-51-Chandarlapadu,Bobbillapadu,19,2,0,0,,,21,,,
96,06-D-51-19,Kri-D-51-Chandarlapadu,Chandarlapadu ,0,0,115,2,,,117,,,
97,06-D-51-19,Kri-D-51-Chandarlapadu,Patempadu,0,0,3,1,,,4,,,
98,06-D-51-19,Kri-D-51-Chandarlapadu,Kasarabada,20,2,0,0,,,22,,,
99,06-D-51-19,Kri-D-51-Chandarlapadu,Ustepalli,2,1,0,0,,,3,,,
100,06-D-51-19,Kri-D-51-Chandarlapadu,Pokkunuru,26,2,0,0,,,28,,,
101,06-D-51-19,Kri-D-51-Chandarlapadu,Kodavatikallu,42,3,0,0,,,45,,,
102,06-D-51-19,Kri-D-51-Chandarlapadu,Veladikothapalem,40,2,0,0,,,42,,,
103,06-D-51-19,Kri-D-51-Chandarlapadu,Punnavalli,15,1,0,0,,,16,,,
104,06-D-51-19,Kri-D-51-Chandarlapadu,Popuru,18,2,0,0,,,20,,,
105,06-D-51-19,Kri-D-51-Chandarlapadu,Vipareetalapadu,0,0,27,0,,,27,,,
106,06-D-49-02,Kri-D-49-Nemali,Ummadidevarapalli,14,1,0,0,,,15,,,
107,06-D-49-02,Kri-D-49-Nemali,Nemali,40,3,0,0,,,43,,,
108,06-D-49-02,Kri-D-49-Nemali,Konijerla,39,6,0,0,,,45,,,
109,06-D-49-04,Kri-D-49-Utukuru,Utukuru,59,6,0,0,,,65,,,
110,06-D-49-04,Kri-D-49-Utukuru,Dundiralapadu,37,5,0,0,,,42,,,
111,06-D-49-04,Kri-D-49-Utukuru,Penugolenu,67,8,0,0,,,75,,,
112,06-D-49-04,Kri-D-49-Utukuru,Tunikipadu,38,5,0,0,,,43,,,
113,06-D-49-04,Kri-D-49-Utukuru,Rajavaram,11,1,0,0,,,12,,,
114,06-D-49-07,Kri-D-49-Talluru,Kakaravai,14,1,0,0,,,15,,,
115,06-D-49-07,Kri-D-49-Talluru,Machinenipalem,18,1,0,0,,,19,,,
116,06-D-49-07,Kri-D-49-Talluru,Talluru,10,1,0,0,,,11,,,
117,06-D-49-07,Kri-D-49-Talluru,Vemulanarva,13,1,0,0,,,14,,,
118,06-D-49-10,Kri-D-49--K.Atmakuru,K.Atmakuru,16,1,0,0,,,17,,,
119,06-D-49-10,Kri-D-49--K.Atmakuru,Jonnalagadda,18,1,0,0,,,19,,,
120,06-D-49-10,Kri-D-49--K.Atmakuru,V.Annavaram,13,0,0,0,,,13,,,
121,06-D-49-05,Kri-D-49-Veerulapadu,Torragudipadu,11,1,0,0,,,12,,,
122,06-D-49-05,Kri-D-49-Veerulapadu,Damuluru,24,1,0,0,,,25,,,
123,06-D-49-05,Kri-D-49-Veerulapadu,Somavaram,10,1,0,0,,,11,,,
124,06-D-49-05,Kri-D-49-Veerulapadu,Rudravaram,20,1,0,0,,,21,,,
125,06-D-49-05,Kri-D-49-Veerulapadu,Gollamudi,24,1,0,0,,,25,,,
126,06-D-49-05,Kri-D-49-Veerulapadu,Raghavapuram,21,1,0,0,,,22,,,
127,06-D-49-05,Kri-D-49-Veerulapadu,Pallempalli,0,0,0,0,,,0,,,
128,06-D-49-05,Kri-D-49-Veerulapadu,Konatanapalli,42,1,0,0,,,43,,,
129,06-D-49-05,Kri-D-49-Veerulapadu,Choutapalli,19,4,0,0,,,23,,,
130,06-D-49-05,Kri-D-49-Veerulapadu,Chattannavaram,16,3,0,0,,,19,,,
131,06-D-49-05,Kri-D-49-Veerulapadu,Dachavaram,12,2,0,0,,,14,,,
132,06-D-49-05,Kri-D-49-Veerulapadu,Vellanki,21,2,0,0,,,23,,,
