S.No,Watershed code,Watershed Name, Village Name,Length ,Design depth of flow,Bed width,Side Slopes,WettedPerimeter,Wetted area,Canal seepage factor, No.of operating days of canal,, Recharge from canal (ha.m),,Annual Recharge,,
,,,,mts,mts,mts,( degrees ),mts,( m.sq mts.),( ha.m/d/m.sq.m ),Monsoon ,N-Monsoon,Monsoon ,Non-Monsoon,( ha.m ),,
74,06-D-49-04,Kri-D-49-Nandigama,Takkellapadu,682,0.3,0.9,33.69,1.9816672948,0.0013514971,3.5,120,20,0.5676287799,0.0946047967,0.6622335766,Takkellapadu minor,Minor
75,06-D-49-04,Kri-D-49-Nandigama,Lingalapadu,905,0.4,1.14,33.69,2.5822230598,0.0023369119,3.5,120,20,0.981502985,0.1635838308,1.1450868159,Lingalapadu minor,Minor
76,,,Lingalapadu,1844,0.38,0.9,33.69,2.2701119068,0.0041860864,3.5,120,20,1.7581562696,0.2930260449,2.0511823145,Lingalapadu minor-II,Minor
77,06-D-49-04,Kri-D-49-Nandigama,Latchapalem,,,,33.69,0,0,3.5,,,0,0,0,,
78,06-D-49-04,Kri-D-49-Nandigama,Adaviravulapadu,1407,0.15,0.6,33.69,1.1408336474,0.0016051529,3.5,120,20,0.6741642356,0.1123607059,0.7865249415,Adiviravulapadu minor,Minor
79,06-D-49-04,Kri-D-49-Nandigama,K.Kandrika,,,,33.69,0,0,3.5,,,0,0,0,,
80,,Kri-D-49-Nandigama,Chandapuram,,,,33.69,0,0,3.5,,,0,0,0,,
81,,Kri-D-49-Nandigama,Ambarupeta,,,,33.69,0,0,3.5,,,0,0,0,,
82,,Kri-D-49-Nandigama,Itavaram,,,,33.69,0,0,3.5,,,0,0,0,,
83,,Kri-D-49-Nandigama,Ketaveerunipadu,7140,0.6,2.74,33.69,4.9033345897,0.035009809,3.5,120,20,14.7041197675,2.4506866279,17.1548063955,Ketaveerunipadu minor,Minor
84,,Kri-D-49-Nandigama,Kanchela,22293,0.8,3.66,33.69,6.5444461196,0.1458953373,3.5,120,20,61.2760416843,10.2126736141,71.4887152984,Kanchela major,Major
85,,Kri-D-49-Nandigama,Medipalem,235,0.3,0.4,33.69,1.4816672948,0.0003481918,3.5,120,20,0.146240562,0.024373427,0.170613989,Medipalem minor,Minor
86,,Kri-D-49-Nandigama,Munagalapalli,,,,33.69,0,0,3.5,,,0,0,0,,
87,,Kri-D-49-Nandigama,Muppala,2095,0.3,1.22,33.69,2.3016672948,0.004821993,3.5,120,20,2.0252370527,0.3375395088,2.3627765615,Muppala-I minor,Minor
88,,,Muppala,670,0.3,0.6,33.69,1.6816672948,0.0011267171,3.5,120,20,0.4732211768,0.0788701961,0.5520913729,Muppala-II minor,Minor
89,,Kri-D-49-Nandigama,Thurlapadu,7946,0.3,2.59,33.69,3.6716672948,0.0291750683,3.5,120,20,12.2535286964,2.0422547827,14.2957834791,Thurlapadu minor,Minor
