S.No,Watershed code,Watershed Name,Village Name,command area,,,,Non command area,,,,Poor GW quality area,,,
,,,,Paddy,,Non-paddy,,Paddy,,Non-paddy,,Paddy,,Non-paddy,
,,,,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi,Kharif,Rabi
93,06-I-52-33,Kri-I-52-Pedaparupudi,Pamulapadu,1121,0,0,0,,,,,,,,
94,06-I-52-33,Kri-I-52-Pedaparupudi,Ventrapragada,1296.24,0,0,0,,,,,,,,
95,06-I-52-33,Kri-I-52-Pedaparupudi,Somavarappadu,186.16,0,0,0,,,,,,,,
96,06-I-52-33,Kri-I-52-Pedaparupudi,Moparru,399.03,0,0,0,,,,,,,,
97,06-I-52-33,Kri-I-52-Pedaparupudi,Jamidintakorru,246.86,0,0,0,,,,,,,,
98,06-I-52-33,Kri-I-52-Pedaparupudi,Vinjarampadu,161.07,0,0,0,,,,,,,,
99,06-I-52-33,Kri-I-52-Pedaparupudi,Bhushanagulla,194.25,0,0,0,,,,,,,,
100,06-I-52-32,Kri-I-52-Gudivada,Lingavaram,341.97,0,0,0,,,,,,,,
101,06-I-52-32,Kri-I-52-Gudivada,Merakagudem,131.12,0,0,0,,,,,,,,
102,06-I-52-32,Kri-I-52-Gudivada,Serigolvepalli,64.75,0,0,0,,,,,,,,
103,06-I-52-32,Kri-I-52-Gudivada,Guntakoduru,242.41,0,0,0,,,,,,,,
104,06-I-52-32,Kri-I-52-Gudivada,Moturu,1057.47,0,0,0,,,,,,,,
105,06-I-52-32,Kri-I-52-Gudivada,Saidepudi,159.45,0,0,0,,,,,,,,
106,06-I-52-32,Kri-I-52-Gudivada,Dondapadu,192.63,0,0,0,,,,,,,,
107,06-I-52-32,Kri-I-52-Gudivada,Chilakamudi,187.37,0,0,0,,,,,,,,
108,06-I-52-32,Kri-I-52-Gudivada,Valivarthipadu,679.89,0,0,0,,,,,,,,
109,06-I-52-32,Kri-I-52-Gudivada,Nagavarappadu (Gudivada (M),286.93,0,0,0,,,,,,,,
110,06-I-52-32,Kri-I-52-Gudivada,Bethavolu,456.09,0,0,0,,,,,,,,
111,06-I-52-32,Kri-I-52-Gudivada,Pedayerukapadu,87.41,0,0,0,,,,,,,,
112,06-I-52-32,Kri-I-52-Gudivada,Mandapadu,174.02,0,0,0,,,,,,,,
113,06-I-52-32,Kri-I-52-Gudivada,Billapadu,106.03,0,0,0,,,,,,,,
114,06-I-52-32,Kri-I-52-Gudivada,Chinayerukapadu,83.77,0,0,0,,,,,,,,
115,06-I-52-32,Kri-I-52-Gudivada,Bommuluru,184.14,0,0,0,,,,,,,,
116,06-I-52-32,Kri-I-52-Gudivada,Gangadharapuram,60.7,0,0,0,,,,,,,,
117,06-I-52-32,Kri-I-52-Gudivada,Gudivada,465.8,0,0,0,,,,,,,,
118,06-I-52-32,Kri-I-52-Gudivada,Chowtapalli,444.76,0,0,0,,,,,,,,
119,06-I-52-32,Kri-I-52-Gudivada,Kalvapudiagraharam,170.78,0,0,0,,,,,,,,
120,06-I-52-32,Kri-I-52-Gudivada,Seridintikurru,221.77,0,0,0,,,,,,,,
