,,,,"Command Area",,,,,,,"Non-Command Area",,,,,,,"Poor GW quality area",,,,,,,
,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,"Irrigated",,,,,,,
"Sr.no","Watershed code","GW watershed name","village name","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP","DW","DW PS","BW","STW","MTW","DTW","FP",
70,"04_E_32_26-003","EG-G-Zk-Rangampet","Elakolanu",0,0,0,0,0,0,0,0,0,0,0,7,0,8,,,,,,,,
71,"04_E_32_26-003","EG-G-Zk-Rangampet","Pata Doddigunta",0,0,0,0,0,0,0,0,13,14,13,15,0,13,,,,,,,,
72,"04_E_32_26-003","EG-G-Zk-Rangampet","Marripadi",0,20,17,18,19,14,28,0,0,0,0,0,0,0,,,,,,,,
73,"04_E_32_26-003","EG-G-Zk-Rangampet","Singampalli",0,6,7,8,10,6,15,0,0,0,0,0,0,0,,,,,,,,
74,"04_E_32_26-003","EG-G-Zk-Rangampet","Nallamilli",0,8,11,10,14,15,14,0,0,0,0,0,0,0,,,,,,,,
75,"04_E_32_26-003","EG-G-Zk-Rangampet","G.Dontamuru",0,16,25,23,32,22,33,0,0,0,0,0,0,0,,,,,,,,
76,"04_E_32_26-003","EG-G-Zk-Rangampet","Veerampalem",0,13,15,12,16,15,16,0,0,0,0,0,0,0,,,,,,,,
77,"04_E_32_26-003","EG-G-Zk-Rangampet","Balabhadrapuram",0,16,12,16,9,17,14,0,0,0,0,0,0,0,,,,,,,,
78,"04_E_32_26-003","EG-G-Zk-Rangampet","Kapavaram",0,9,14,17,17,25,21,0,0,0,0,0,0,0,,,,,,,,
79,"04_E_32_26-003","EG-G-Zk-Rangampet","Rangapuram",0,18,24,23,25,25,38,0,0,0,0,0,0,0,,,,,,,,
80,"04_E_32_26-003","EG-G-Zk-Rangampet","Tummalapalli",0,4,3,6,6,5,6,0,0,0,0,0,0,0,,,,,,,,
