"GW Watershed Name","Iwm basin names","GW Village Name","iwm village names"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","BADADANAMPALLI","Badadanampalle"
"EG-MHG-Ylw- Eleswaram","EG-MHG-YLW-ELESWARAM-MB","Balabadrapuram","Balabhadrapuram"
"EG-G-Zk-Rangampet","EG-G-ZK-RANGAMPETA-MB","Balabhadrapuram","Balabhadrapuram-1"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Balajipadu","Balijapadu"
"EG_G_LGD_ Kgangavaram","KGANGAVARAMU-MB","Balantaram","Balantharam"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Balaramapuram","Balarampuram"
"EG-G-Pm- Kutravada","EG-G-PM-KUTRAVADA-MB","BANDA","Banda"
"EG-MHG-Mg- Addateegala","EG-MHG-MG-ADDATEEGALA-MB","Bandakonda","Bandakonda"
"EG-MHG-Md- Jaddangi","EG-MHG-MD-JADDANGI-MB","Bandamamillu","Bandamamillu"
"EG_G_LGD_ Kajuluru","KAJULURU-MB","Bandanapudi","Bandanapudi"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Bandapalli","Bandapalle-2"
"EG-G-LGD- Amalapuram","AMALAPURAM-MB","Bandarlanka","BANDARULANKA"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BANDIGEDDA","Bandigedda"
"EG_G_LGD_ Katrenikona","KATRENIKONA-MB","Bantumilli","Bantumilli-1"
"EG-MHG-Sg- Prathipadu","EG-MHG-SG-PRATHIPADU-MB","Bapannadara","Bapannadhara"
"EG-MHG-Pd- Y.Ramavaram","EG-MHG-PD-Y RAMAVARAM-MB","BARRIMAMIDI","Barrimamidi"
"EG-MHG-Pp- Sankhavaram","EG-MHG-PP-SANKHAVARAM-MB","Bavuruvaka","Bavuruvaka"
"EG-G-BkNe-Gangavaram","EG-G-BKNE-GANGAVARAM-MB","Bayyanapalli","Bayyanapalle"
"EG-G-Sp- Rchodavaram","EG-G-SP-RAMPACHODAVARAM-MB","Beerampalli","Beerampalle"
"EG-G-LGD- Pgannavaram","P_GANNAVARAM-MB","Bellampudi","Bellampudi"
"EG_G_GD_ Allavaram","ALLAVARAM-MB","Bendamurlanka","Bendamurulanka-1"
