,,,,Command Area,,Non command Area,,Poor quality area,,
,,,,Residential,,Residential,,Residential,,
Sr.no,Watershed code,GW watershed name,village name,DWDW/HP,DW PWS,DWDW/HP,DW PWS,DWDW/HP,DW PWS,Total
200,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Suryaraopet,0,0,0,0,,,0
201,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Chidiga,0,0,0,0,,,0
202,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kovvada,0,0,0,0,,,0
203,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Repuru,0,0,0,0,,,0
204,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kkd Medaline,0,0,0,0,,,0
205,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Kkd Muncipality,0,0,0,0,,,0
206,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Jagannadhapuram,0,0,0,0,,,0
207,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Mallepalle,0,0,0,0,,,0
208,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Uppalapadu,0,0,0,0,,,0
209,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Talluru,0,0,0,0,,,0
210,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Pro.Rangampet,0,0,0,0,,,0
211,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Borrampalem,0,0,0,0,,,0
212,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Yellamalli,0,0,0,0,,,0
213,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Nayakampalli,0,0,0,0,,,0
214,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Yerrampalem,0,0,0,0,,,0
215,04_F_19-6_11-007,EG-MHG-Ylw- Eleswaram,Atchyutapuratrayam,0,0,0,0,,,0
216,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Krishnunipalem,,0,34,2,,,36
217,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Gokavaram,,0,0,7,,,7
218,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Tantikonda,,0,0,3,,,3
219,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Gadelapalem,,0,0,1,,,1
220,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,NELAKOTA,,0,6,0,,,6
221,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,POTAVARAM,,0,22,1,,,23
222,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,DEVARAM,,0,7,1,,,8
223,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,M.RAVILANKA,,0,13,0,,,13
224,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,PEDABHIMPALLI,,0,16,0,,,16
225,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,INDUKURU,,0,13,2,,,15
226,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,INDUKURUPET,,0,29,3,,,32
227,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,SARABAVARAM,,0,15,5,,,20
228,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,LOTHUPALEM,,0,0,0,,,0
229,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Forest,,0,0,0,,,0
230,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Bolleddupalem,4,2,,0,,,6
231,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Kotikesavaram,6,4,0,0,,,10
232,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Raghavapuram,17,3,0,0,,,20
233,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Srirangapatnam,,0,18,4,,,22
234,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Koti,17,3,0,0,,,20
235,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Munagala,4,3,0,0,,,7
236,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Kapavaram,14,2,0,0,,,16
237,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Korukonda,,0,4,4,,,8
238,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Purushottapatnam,9,2,0,0,,,11
239,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Vangalapudi,7,2,0,0,,,9
240,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,chinakodepudi,7,4,0,,,,11
241,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Nagampalli,16,2,0,,,,18
242,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Nallagonda,,2,0,,,,2
243,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Singavaram,8,4,0,0,,,12
244,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Sitanagaram,3,5,0,0,,,8
245,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Raghudevapuram,9,4,0,0,,,13
246,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Kunavaram,14,4,0,0,,,18
247,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Muggalla,,4,0,0,,,4
248,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Munikudali,7,6,,0,,,13
249,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Katavaram,4,6,,0,,,10
250,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Jalimudi,2,4,,0,,,6
251,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Bobbilanka,8,6,,0,,,14
252,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Penikalapudi,,0,,1,,,1
253,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Dirisenapalli,,0,,0,,,0
254,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Narasapuram,,0,,0,,,0
255,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,K.Yerrampalem,,0,,1,,,1
256,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Foulkspeta,,0,,0,,,0
257,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Devarathigudem,,0,,1,,,1
258,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Kannavaram,,,,,,,0
259,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,M.Burugubanda,,,,,,,0
260,04_E_31-2_15-007,EG-G-BkW- Sitanagaram,Forest,,,,,,,0
261,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Lododdi,0,0,0,1,,,1
262,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Pudedu,0,0,0,1,,,1
263,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Kesavaram,0,0,0,,,,0
264,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Pakalti,0,0,0,,,,0
265,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Forest,0,0,0,,,,0
266,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Satyavaram,0,0,0,,,,0
267,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Kotturu,0,0,0,,,,0
268,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Dabbadi,0,0,0,,,,0
269,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Raghavapatnam,0,0,0,,,,0
270,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Ginnelaram,0,0,0,,,,0
271,04_F_17_09-030,EG-MHG-Pp- Sankhavaram,Jaldam,0,0,0,,,,0
