"sr.no",,,"village name","No. M.I.Tanks command area",,"Number of M.I.Tanks [Non command area]",,"Number of M.I.Tanks PQ Area
[Poor GW Quality area]",
,"Watershed code ","GW watershed name",,"Number","spread ha","Number","spread ha","Number","spread ha"
111,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Somavaram",,,,,,
112,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Virava",,,,,,
113,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kondevaram",,,,,,
114,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yendpalli",,,,,,
115,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vakatippa",,,,,,
116,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kottapalli",,,,,,
117,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kutukudumilli",,,,,,
118,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Subbampeta",,,,,,
119,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gorsa",,,,,,
120,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Komaragiri",1,22,,,,
121,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppada",,,,,,
122,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Aminabada",,,,,,
123,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chadalada",,,,,,
124,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Divili",,,,,,
125,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gudiwada",,,,,,
126,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gorinta",,,,,,
127,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","G.Ragampeta",7,18,,,,
128,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","J.Timmapuram",4,9,,,,
129,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandrakota",,,,,,
130,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kattamuru",1,6,,,,
131,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Marlova",,,,,,
132,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pulimeru",,,,,,
133,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Peddapuram",6,26,,,,
134,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Siriwada",,,,,,
135,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tirupati",,,,,,
136,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tadiparti",,,,,,
