,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
575,"04_E_34_42-011","EG_G_LGD_ Alamuru","Pedapalla",5,,,5,,
576,"04_E_34_42-011","EG_G_LGD_ Alamuru","Pinapalla",0,,,0,,
577,"04_E_34_42-011","EG_G_LGD_ Alamuru","Sandhipudi",0,,,0,,
578,"04_E_34_42-011","EG_G_LGD_ Alamuru","Chintaluru",6,,,6,,
579,"04_E_34_54-006","EG-G-LGD- Amalapuram","Bhatnavilli",17,,,17,,
580,"04_E_34_54-006","EG-G-LGD- Amalapuram","A.Vemavaram",4,,,4,,
581,"04_E_34_54-006","EG-G-LGD- Amalapuram","Nallamilli",1,,,1,,
582,"04_E_34_54-006","EG-G-LGD- Amalapuram","Janupalli",0,,,0,,
583,"04_E_34_54-006","EG-G-LGD- Amalapuram","Nadipudi",3,,,3,,
584,"04_E_34_54-006","EG-G-LGD- Amalapuram","Palagummi",0,,,0,,
585,"04_E_34_54-006","EG-G-LGD- Amalapuram","Bandarlanka",5,,,5,,
586,"04_E_34_54-006","EG-G-LGD- Amalapuram","Edarapalli",3,,,3,,
587,"04_E_34_54-006","EG-G-LGD- Amalapuram","Indupalli",5,,,5,,
588,"04_E_34_54-006","EG-G-LGD- Amalapuram","Sakurru",0,,,0,,
589,"04_E_34_54-006","EG-G-LGD- Amalapuram","G.Agraharam",0,,,0,,
590,"04_E_34_54-006","EG-G-LGD- Amalapuram","Peruru",18,,,18,,
591,"04_E_34_54-006","EG-G-LGD- Amalapuram","Immidivarappadu",1,,,1,,
592,"04_E_34_54-006","EG-G-LGD- Amalapuram","Thandavapalli",5,,,5,,
593,"04_E_34_54-006","EG-G-LGD- Amalapuram","Samanasa",4,,,4,,
594,"04_E_34_54-006","EG-G-LGD- Amalapuram","Vannechintalapudi",41,,,41,,
595,"04_E_34_54-006","EG-G-LGD- Amalapuram","Amalapuram(R)",0,,,0,,
596,"04_E_34_54-006","EG-G-LGD- Amalapuram","Amalapuram(U)",84,,,84,,
597,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Pasupalii",1,,,1,,
598,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Vakkalanka",0,,,0,,
599,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Mukkamala",3,,,3,,
600,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Irusumanada",2,,,2,,
601,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Mosalapalli",1,,,1,,
602,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Gangalakurru",5,,,5,,
603,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Machavaram",,,,0,,
604,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Nandampudi",,,,0,,
605,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Thondavaram",,,,0,,
606,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Chirutapudi",3,,,3,,
607,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Pulletikurru",4,,,4,,
608,"04_E_34_48-005","EGG_LGD_ Ambajipeta","K.Pedapudi",1,,,1,,
609,"04_E_34_48-005","EGG_LGD_ Ambajipeta","Isukapudi",3,,,3,,
610,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Rajavaram",,,,0,,
611,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Peravaram",3,,,3,,
612,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Velicheru",3,,,3,,
613,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Vaddiparru",2,,,2,,
614,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Pulidindi",,,,0,,
615,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Vuchili",7,,,7,,
616,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Vasantawada",1,,,1,,
617,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Atreyapuram",6,,,6,,
618,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Kattunga",2,,,2,,
619,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Lolla",3,,,3,,
620,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Vadapalli",,,,0,,
621,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Narkedimilli",4,,,4,,
622,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Merlapalem",,,,0,,
623,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Ankampalem",3,,,3,,
624,"04_E_34_43-008","EG-G-LGD- Atreyapuram","Ryali",,,,0,,
625,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Yendagandi",1,,,1,,
626,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Pamarru",1,,,1,,
627,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Amujuru",2,,,2,,
628,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Panagipalli",0,,,0,,
629,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Kunduru",2,,,2,,
630,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Sivala",1,,,1,,
631,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Yerrapotavaram",2,,,2,,
632,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Vilasagangavaram",,,,0,,
633,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Addapalli",,,,0,,
634,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Balantaram",1,,,1,,
635,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Gudigallabhaga",,,,0,,
636,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Gudigallarallagunta",,,,0,,
637,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Pekeru",,,,0,,
638,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Kundipuru",,,,0,,
639,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Dangeru",9,,,9,,
640,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Gangavaram",21,,,21,,
641,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Tamarapalli",1,,,1,,
642,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Satyawada",2,,,2,,
643,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Kulla",1,,,1,,
644,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Kotipalli",1,,,1,,
645,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Sundarapalli",,,,0,,
646,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Kota",,,,0,,
647,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Bhatlapalika",1,,,1,,
648,"04_E_34_45-016","EG_G_LGD_ Kgangavaram","Masakapalli",1,,,1,,
649,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Mandapalli",,,,0,,
650,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Vadapalem",3,,,3,,
651,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Kothapeta",31,,,31,,
652,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Palivela",7,,,7,,
653,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Ganti",2,,,2,,
654,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Avidi",3,,,3,,
655,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Billakurru",,,,0,,
656,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Khandrika",,,,0,,
657,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Vanapalli",3,,,3,,
658,"04_E_34_46-003","EG_G_LGD_ Kothapeta","Modekurru",1,,,1,,
659,"04_E_34_41-012","EG_G_LGD_ Kpuram","Nelaturu",,,,0,,
660,"04_E_34_41-012","EG_G_LGD_ Kpuram","Valluru",4,,,4,,
661,"04_E_34_41-012","EG_G_LGD_ Kpuram","Nidasanametta",1,,,1,,
662,"04_E_34_41-012","EG_G_LGD_ Kpuram","Vadlamuru",0,,,0,,
663,"04_E_34_41-012","EG_G_LGD_ Kpuram","Kaleru",,,,0,,
664,"04_E_34_41-012","EG_G_LGD_ Kpuram","Nalluru",,,,0,,
665,"04_E_34_41-012","EG_G_LGD_ Kpuram","Vedurumudi",2,,,2,,
666,"04_E_34_41-012","EG_G_LGD_ Kpuram","Angara",10,,,10,,
667,"04_E_34_41-012","EG_G_LGD_ Kpuram","P.Khandrika",1,,,1,,
668,"04_E_34_41-012","EG_G_LGD_ Kpuram","Teki",4,,,4,,
669,"04_E_34_41-012","EG_G_LGD_ Kpuram","Tatapudi",2,,,2,,
670,"04_E_34_41-012","EG_G_LGD_ Kpuram","K.P.Puram",5,,,5,,
671,"04_E_34_41-012","EG_G_LGD_ Kpuram","Machara",1,,,1,,
672,"04_E_34_41-012","EG_G_LGD_ Kpuram","Vakatippa",1,,,1,,
673,"04_E_34_41-012","EG_G_LGD_ Kpuram","Korimilli",3,,,3,,
674,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Anatavaram",58,,,58,,
675,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Ch.Gunnepalli",20,,,20,,
676,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Krapachintalapudi",12,,,12,,
677,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Mummidivaram",87,,,87,,
678,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Inapuram",,,,0,,
679,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Kothalanka",14,,,14,,
680,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Tanelanka",1,,,1,,
681,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Kommanapalli",,,,0,,
682,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Annampalli",,,,0,,
683,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Gadilanka",10,,,10,,
684,"04_E_34_50-007","EG-G-LGD- Mummidivaram","Kamini",,,,0,,
685,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Manepalli",3,,,3,,
686,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Vadrevupalli",1,,,1,,
687,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Mondepulanka",,,,0,,
688,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Lankalagannavaram",,,,0,,
689,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Yenugupalli",1,,,1,,
690,"04_E_34_47-007","EG-G-LGD- Pgannavaram","V.Kottapalli",,,,0,,
691,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Katharilanka",,,,0,,
692,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Munjavaram",,,,0,,
693,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Karupallipadu",2,,,2,,
694,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Mungandapalem",,,,0,,
695,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Munganda",5,,,5,,
696,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Potavaram",2,,,2,,
697,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Patagannavaram",10,,,10,,
698,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Bellampudi",2,,,2,,
699,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Udimudi",1,,,1,,
700,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Narendrapuram",2,,,2,,
701,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Kundalapalli",,,,0,,
702,"04_E_34_47-007","EG-G-LGD- Pgannavaram","Gantipedapudi",7,,,7,,
703,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Ubalanka",7,,,7,,
704,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Ravulapalem",61,,,61,,
705,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Komarajulanka",1,,,1,,
706,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Lakshmipolavaram",2,,,2,,
707,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Vedireswaram",3,,,3,,
708,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Devarapalli",3,,,3,,
709,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Ethakota",8,,,8,,
710,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Podagatlapalli",2,,,2,,
711,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Juttigapadu",,,,0,,
712,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Gopalapuram",8,,,8,,
713,"04_E_34_44-002","EG_G_LGD_ Ravulapalem","Mummidivarappadu",,,,0,,
714,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Lolla",1,,,1,,
715,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Vedurupaka",7,,,7,,
716,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Nadurubada",0,,,0,,
717,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Pasalapudi",23,,,23,,
718,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Someswaram",18,,,18,,
719,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Machavaram",7,,,7,,
720,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Chelluru",9,,,9,,
721,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Venturu",4,,,4,,
722,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Kurakallaapalli",,,,0,,
723,"04_E_34_40-002","EG_G_LGD_ Rayavaram","Kurmapuram",0,,,0,,
724,"04_E_34_57-004","EG_G_LGD_ Razole","Sompalli",4,,,4,,
725,"04_E_34_57-004","EG_G_LGD_ Razole","Tatipaka",26,,,26,,
726,"04_E_34_57-004","EG_G_LGD_ Razole","Podalada",0,,,0,,
727,"04_E_34_57-004","EG_G_LGD_ Razole","Razole(u)",12,,,12,,
728,"04_E_34_57-004","EG_G_LGD_ Razole","Razole(R)",,,,0,,
729,"04_E_34_57-004","EG_G_LGD_ Razole","B.Savaram",2,,,2,,
730,"04_E_34_57-004","EG_G_LGD_ Razole","Palagummi",1,,,1,,
731,"04_E_34_57-004","EG_G_LGD_ Razole","Kadali",23,,,23,,
732,"04_E_34_57-004","EG_G_LGD_ Razole","Mulikipalli",,,,0,,
733,"04_E_34_57-004","EG_G_LGD_ Razole","Kunavaram",4,,,4,,
734,"04_E_34_57-004","EG_G_LGD_ Razole","Chintalapalli",31,,,31,,
735,"04_E_34_57-004","EG_G_LGD_ Razole","Sivakodu",18,,,18,,
736,"04_E_34_57-004","EG_G_LGD_ Razole","Ponnamanda",4,,,4,,
737,"04_E_34_57-004","EG_G_LGD_ Razole","Katravupadu",2,,,2,,
738,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Ramachandrapuram",89,,,89,,
739,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Chodavaram",,,,0,,
740,"04_E_34_39-001","EG_G_LGD_ Rcpuram","A.K.Agraharam",,,,0,,
741,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Narasapurapeta",29,,,29,,
742,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Oduru",12,,,12,,
743,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Yanamadala",5,,,5,,
744,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Tadipalli",4,,,4,,
745,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Kapavaram",0,,,0,,
746,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Kandulapalem",2,,,2,,
747,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Vella",2,,,2,,
748,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Yerupalli",0,,,0,,
749,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Mutchumilli",,,,0,,
750,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Utrumilli",,,,0,,
751,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Jaganayukulapalem",3,,,3,,
752,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Velampalem",3,,,3,,
753,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Draksharamam",23,,,23,,
754,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Thotapeta",,,,0,,
755,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Hasanabada",7,,,7,,
756,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Unduru",1,,,1,,
757,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Bhimakosupalm",3,,,3,,
758,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Vegayampeta",14,,,14,,
759,"04_E_34_39-001","EG_G_LGD_ Rcpuram","Vekatayapalem",2,,,2,,
760,"04_E_34_55-002","EG_G_GD_ Allavaram","Bendamurlanka",22,,,22,,
761,"04_E_34_55-002","EG_G_GD_ Allavaram","Komarigiripatnam",54,,,54,,
762,"04_E_34_55-002","EG_G_GD_ Allavaram","Samantakurru",26,,,26,,
763,"04_E_34_55-002","EG_G_GD_ Allavaram","Mogallamuru",29,,,29,,
764,"04_E_34_55-002","EG_G_GD_ Allavaram","Godi",10,,,10,,
765,"04_E_34_55-002","EG_G_GD_ Allavaram","Godilanka",61,,,61,,
766,"04_E_34_55-002","EG_G_GD_ Allavaram","Turupulanka",46,,,46,,
767,"04_E_34_55-002","EG_G_GD_ Allavaram","Devaguptam",7,,,7,,
768,"04_E_34_55-002","EG_G_GD_ Allavaram","Rellagedda",47,,,47,,
769,"04_E_34_55-002","EG_G_GD_ Allavaram","Yentrikona",0,,,0,,
770,"04_E_34_55-002","EG_G_GD_ Allavaram","Tadikona",36,,,36,,
771,"04_E_34_55-002","EG_G_GD_ Allavaram","Gudala",23,,,23,,
772,"04_E_34_55-002","EG_G_GD_ Allavaram","Allavaram",4,,,4,,
773,"04_E_34_55-002","EG_G_GD_ Allavaram","Bodasakurru",55,,,55,,
774,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Pasuvulalanka",8,,,8,,
775,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Muramalla",37,,,37,,
776,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Komarigiri",29,,,29,,
777,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Pata Injaram",5,,,5,,
778,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Edurulanka",5,,,5,,
779,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Guttenadeevi",8,,,8,,
780,"04_E_34_51-008","EG-G-LGD- Ipolavaram","G.vemavaram",17,,,17,,
781,"04_E_34_51-008","EG-G-LGD- Ipolavaram","T.kottapalli",36,,,36,,
782,"04_E_34_51-008","EG-G-LGD- Ipolavaram","I.Polavaram",56,,,56,,
783,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Kesanakurru",57,,,57,,
784,"04_E_34_51-008","EG-G-LGD- Ipolavaram","Tillakuppa",25,,,25,,
785,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Jagannadhagiri",3,,,3,,
786,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Tarlampudi",3,,,3,,
787,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Matukumilli",0,,,0,,
788,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Bandanapudi",8,,,8,,
789,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Aryavatam",49,,,49,,
790,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Gollapalem",29,,,29,,
791,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Sellapaka",24,,,24,,
792,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Manjeru",1,,,1,,
793,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Seela",14,,,14,,
794,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Kajuluru",64,,,64,,
795,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Cheduwada",1,,,1,,
796,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Ithapudi",22,,,22,,
797,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Tanumalla",,,,0,,
798,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Penumalla",13,,,13,,
799,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Andragi",2,,,2,,
800,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Kuyyeru",0,,,0,,
801,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Duggudurru",35,,,35,,
802,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Uppumilli",20,,,20,,
803,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Kolanka",2,,,2,,
804,"04_E_34_38-010","EG_G_LGD_ Kajuluru","Pallipalem",75,,,75,,
805,"04_E_34_36-006","EG_G_LGD_Karapa","Aratlakatta",2,,,2,,
806,"04_E_34_36-006","EG_G_LGD_Karapa","Z.Bhavaram",1,,,1,,
807,"04_E_34_36-006","EG_G_LGD_Karapa","Nadakuduru",10,,,10,,
808,"04_E_34_36-006","EG_G_LGD_Karapa","Penuguduru",3,,,3,,
809,"04_E_34_36-006","EG_G_LGD_Karapa","Koripella",,,,0,,
810,"04_E_34_36-006","EG_G_LGD_Karapa","Karapa",49,,,49,,
811,"04_E_34_36-006","EG_G_LGD_Karapa","Patarlagedda",3,,,3,,
812,"04_E_34_36-006","EG_G_LGD_Karapa","Gorripudi",43,,,43,,
813,"04_E_34_36-006","EG_G_LGD_Karapa","Kongodu",36,,,36,,
814,"04_E_34_36-006","EG_G_LGD_Karapa","Vemulavada",27,,,27,,
815,"04_E_34_36-006","EG_G_LGD_Karapa","Vakada",,,,0,,
816,"04_E_34_36-006","EG_G_LGD_Karapa","Kurada",3,,,3,,
817,"04_E_34_36-006","EG_G_LGD_Karapa","Chinamamidada",,,,0,,
818,"04_E_34_36-006","EG_G_LGD_Karapa","Velangi",14,,,14,,
819,"04_E_34_36-006","EG_G_LGD_Karapa","Siripuram",13,,,13,,
820,"04_E_34_36-006","EG_G_LGD_Karapa","G.Bhavaram",2,,,2,,
821,"04_E_34_36-006","EG_G_LGD_Karapa","Yendamuru",41,,,41,,
822,"04_E_34_36-006","EG_G_LGD_Karapa","Peddapurappadu",38,,,38,,
823,"04_E_34_36-006","EG_G_LGD_Karapa","Gurajanapalli",11,,,11,,
824,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Cheyyeru",256,,,256,,
825,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Penumalla",2,,,2,,
826,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Lakshmiwada",1,,,1,,
827,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Bantumilli",,,,0,,
828,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Uppidi",,,,0,,
829,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Katrenikona",21,,,21,,
830,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Nadavapalli",13,,,13,,
831,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Kundaleswram",1,,,1,,
832,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Geddanapalli",4,,,4,,
833,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Dontikurru",,,,0,,
834,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Kandikuppa",17,,,17,,
835,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Pallamkurru",29,,,29,,
836,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Chirrayanam",,,,0,,
837,"04_E_34_52-006","EG_G_LGD_ Katrenikona","Brahmasamedhyam",,,,0,,
838,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Pedapatnamlanka",2,,,2,,
839,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","B.Doddavaram",1,,,1,,
840,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Appanapalli",2,,,2,,
841,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Pedapatnam",0,,,0,,
842,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Nagaram",5,,,5,,
843,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Geddada",1,,,1,,
844,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Mogalikuduru",2,,,2,,
845,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Edarada",1,,,1,,
846,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Mamidikuduru",5,,,5,,
847,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Pasarlapudi",10,,,10,,
848,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Pasarlapudilanka",5,,,5,,
849,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Lutukurru",4,,,4,,
850,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Makanapalem",,,,0,,
851,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Komarada",1,,,1,,
852,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Aadurru",19,,,19,,
853,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Magatapalli",5,,,5,,
854,"04_E_34_56-005","EG-G-LGD- Mamidikuduru","Gogannamatam",24,,,24,,
855,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Antervedi",69,,,69,,
856,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Gudimoolalanka",,,,0,,
857,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Rameswaram",18,,,18,,
858,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Sakhinretipalli",59,,,59,,
859,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Antervedipalem",6,,,6,,
860,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Kesavadasupalem",3,,,3,,
861,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Mori",7,,,7,,
862,"04_E_34_59-002","EG_G_LGD_ Sakhinetipalli","Appanaramunilanka",2,,,2,,
863,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Chollangi",11,,,11,,
864,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Chollangipeta",1,,,1,,
865,"04_E_34_37-006","EG_G_LGD_ Tallarevu","G.Vemavaram",31,,,31,,
866,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Patavala",99,,,99,,
867,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Koringa",68,,,68,,
868,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Polekurru",34,,,34,,
869,"04_E_34_37-006","EG_G_LGD_ Tallarevu","P.Mallavaram",4,,,4,,
870,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Lachipalem",,,,0,,
871,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Uppangala",3,,,3,,
872,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Neelapalli",2,,,2,,
873,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Sunkarapalem",,,,0,,
874,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Injaram",21,,,21,,
875,"04_E_34_37-006","EG_G_LGD_ Tallarevu","Pillanka",,,,0,,
876,"04_E_34_53-009","EG_G_LGD_ Upplguptam","N.kottapalli",49,,,49,,
877,"04_E_34_53-009","EG_G_LGD_ Upplguptam","S.Yanam",41,,,41,,
878,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Challapalli",10,,,10,,
879,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Gopavaram",6,,,6,,
880,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Kunavaram",19,,,19,,
881,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Uppalaguptam",59,,,59,,
882,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Munipalli",4,,,4,,
883,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Pedagadavilli",,,,0,,
884,"04_E_34_53-009","EG_G_LGD_ Upplguptam","Chinagadavilli",2,,,2,,
