,,,,"CA","NCA","PQA",,,
,,,,"Industrial","Industrial","Industrial",,,
"Sr.no","Watershed code","GW watershed name","village name","Industrial Wells","Industrial Wells","Industrial Wells","Total ",,
106,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Madhavapuram",0,0,,0,,
107,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Navakandrawada",0,0,,0,,
108,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Agraharam ",0,0,,0,,
109,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chitrada",0,0,,0,,
110,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Illindarada",0,0,,0,,
111,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Somavaram",0,0,,0,,
112,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Virava",0,0,,0,,
113,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kondevaram",0,0,,0,,
114,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Yendpalli",0,0,,0,,
115,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vakatippa",0,0,,0,,
116,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kottapalli",0,0,,0,,
117,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kutukudumilli",0,0,,0,,
118,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Subbampeta",0,0,,0,,
119,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gorsa",0,0,,0,,
120,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Komaragiri",0,0,,0,,
121,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppada",0,0,,0,,
122,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Aminabada",0,0,,0,,
123,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chadalada",0,0,,0,,
124,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Divili",0,0,,0,,
125,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gudiwada",0,0,,0,,
126,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gorinta",0,0,,0,,
127,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","G.Ragampeta",0,0,,0,,
128,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","J.Timmapuram",0,0,,0,,
129,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandrakota",0,0,,0,,
130,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kattamuru",0,0,,0,,
131,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Marlova",0,0,,0,,
132,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pulimeru",0,0,,0,,
133,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Peddapuram",0,0,,0,,
134,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Siriwada",0,0,,0,,
135,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tirupati",0,0,,0,,
136,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tadiparti",0,0,,0,,
137,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ulimeswram",0,0,,0,,
138,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vadlamuru",0,0,,0,,
139,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Chandramampalli",0,0,,0,,
140,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mamilladoddi",0,0,,0,,
141,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Boyanapudi",0,0,,0,,
142,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","V.K.Rayapuram",0,0,,0,,
143,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Unduru",0,0,,0,,
144,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Koppavaram",0,0,,0,,
145,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Panasapadu",0,0,,0,,
146,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Valluru",0,0,,0,,
147,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","PVemavaram",0,0,,0,,
148,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Navara",0,0,,0,,
149,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pawara",0,0,,0,,
150,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jaggammagaripeta",0,0,,0,,
151,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Madhavapatnam",0,0,,0,,
152,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Samalkota",0,0,,0,,
153,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vetlapalem",0,0,,0,,
154,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Pandravada",0,0,,0,,
155,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kapavaram",0,0,,0,,
156,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","D.Pinjarikonda",0,0,,0,,
157,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kottampalem",0,0,,0,,
158,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jayachintalapadu",0,0,,0,,
159,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Badadam",0,0,,0,,
160,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Matlapadu",0,0,,0,,
161,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Uppalapadu",0,0,,0,,
162,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gadichinnampalem",0,0,,0,,
163,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","D.Krishnavaram",0,0,,0,,
164,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Forest",0,0,,0,,
165,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","MOLLERU",0,0,,0,,
166,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","B.SIVARAMPATNAM",0,0,,0,,
167,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","RAMULDEVAPURAM",0,0,,0,,
168,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","LINGAVARAM",0,0,,0,,
169,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","KATTUMILLI",0,0,,0,,
170,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Forest",0,0,,0,,
171,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kalijolla",0,0,,0,,
172,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Bhupatipalem",0,0,,0,,
173,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Narendrapatnam",0,0,,0,,
174,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Mamidada",0,0,,0,,
175,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Irripaka",0,0,,0,,
176,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Kandregula",0,0,,0,,
177,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Govindapuram",0,0,,0,,
178,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Rajapudi",0,0,,0,,
179,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Manyanvaripalem",0,0,,0,,
180,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Balabadrapuram",0,0,,0,,
181,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Gollalagunta",0,0,,0,,
182,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Seethampet",0,0,,0,,
183,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Marripaka",0,0,,0,,
184,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Guttappalem",0,0,,0,,
185,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Tirupathirajupet",0,0,,0,,
186,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","J.Kotturu",0,0,,0,,
187,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Jaggampet",0,0,,0,,
188,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ramavaram",0,0,,0,,
189,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Seethanagaram",0,0,,0,,
190,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Katravulapalli",0,0,,0,,
191,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Timmapuram",0,0,,0,,
192,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Panduru",0,0,,0,,
193,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Nemam",0,0,,0,,
194,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Thammavaram",0,0,,0,,
195,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Penumarthi",0,0,,0,,
196,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Vakalapudi",0,0,,0,,
197,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ramanayyapet",0,0,,0,,
198,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Sarpavaram",0,0,,0,,
199,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Ganganapalle",0,0,,0,,
200,"04_F_19-6_11-007","EG-MHG-Ylw- Eleswaram","Suryaraopet",0,0,,0,,
