,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,0,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
260,EG_G_LGD_ Upplguptam,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
261,EG_G_LGD_ Upplguptam,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
262,EG_G_LGD_ Upplguptam,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
263,EG_G_LGD_ Upplguptam,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
264,EG_G_LGD_ Upplguptam,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
265,EG_G_LGD_ Upplguptam,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
266,EG_G_LGD_Malkipurm,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
267,EG_G_LGD_Malkipurm,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
268,EG_G_LGD_Malkipurm,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
269,EG_G_LGD_Malkipurm,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
270,EG_G_LGD_Malkipurm,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
271,EG_G_LGD_Malkipurm,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
272,EG_G_LGD_Malkipurm,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
273,EG-G-BkNe-Gangavaram,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
274,EG-G-BkNe-Gangavaram,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
275,EG-G-BkNe-Gangavaram,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
276,EG-G-BkNe-Gangavaram,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
277,EG-G-BkNe-Gangavaram,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
278,EG-G-BkNe-Gangavaram,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
279,EG-G-Pm- Kutravada,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
280,EG-G-Pm- Kutravada,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
281,EG-G-Pm- Kutravada,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
282,EG-G-Pm- Kutravada,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
283,EG-G-Pm- Kutravada,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
284,EG-G-Pm- Kutravada,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
285,EG-G-Pm- Kutravada,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
286,EG-G-Sb- Gudisa,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
287,EG-G-Sb- Gudisa,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
288,EG-G-Sb- Gudisa,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
289,EG-G-Sb- Gudisa,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
290,EG-G-Sb- Gudisa,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
291,EG-G-Sb- Gudisa,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
292,EG-G-Sb- Gudisa,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
293,EG-G-Sb- Ijjaluru,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
294,EG-G-Sb- Ijjaluru,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
295,EG-G-Sb- Ijjaluru,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
296,EG-G-Sb- Ijjaluru,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
297,EG-G-Sb- Ijjaluru,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
298,EG-G-Sb- Ijjaluru,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
299,EG-G-Sb- Ijjaluru,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
300,EG-G-Sb- Nelluru,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
301,EG-G-Sb- Nelluru,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
302,EG-G-Sb- Nelluru,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
303,EG-G-Sb- Nelluru,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
304,EG-G-Sb- Nelluru,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
305,EG-G-Sb- Nelluru,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
306,EG-G-Sb- Nelluru,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
307,EG-G-Sb- Vattigedda,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
308,EG-G-Sb- Vattigedda,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
309,EG-G-Sb- Vattigedda,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
310,EG-G-Sb- Vattigedda,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
311,EG-G-Sb- Vattigedda,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
312,EG-G-Sb- Vattigedda,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
313,EG-G-Sb- Vattigedda,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
314,EG-MHG-Md- Jaddangi,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
315,EG-MHG-Md- Jaddangi,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
316,EG-MHG-Md- Jaddangi,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
317,EG-MHG-Md- Jaddangi,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
318,EG-MHG-Md- Jaddangi,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
319,EG-MHG-Md- Jaddangi,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
320,EG-MHG-Md- Jaddangi,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
321,EG-MHG-Pd- Y.Ramavaram,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
322,EG-MHG-Pd- Y.Ramavaram,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
323,EG-MHG-Pd- Y.Ramavaram,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,40,90,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
324,EG-MHG-Pd- Y.Ramavaram,BWs,0,,,,0,,,,0,,,,10787,15,40,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
325,EG-MHG-Pd- Y.Ramavaram,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
326,EG-MHG-Pd- Y.Ramavaram,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
327,EG-MHG-Pd- Y.Ramavaram,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
328,EG-G-Mv- Kondamodalu,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
329,EG-G-Mv- Kondamodalu,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
330,EG-G-Mv- Kondamodalu,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
331,EG-G-Mv- Kondamodalu,BWs,0,,,,0,,,,0,,,,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
332,EG-G-Mv- Kondamodalu,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
333,EG-G-Mv- Kondamodalu,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
334,EG-G-Mv- Kondamodalu,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
335,EG-G-Sp- Rchodavaram,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
336,EG-G-Sp- Rchodavaram,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
337,EG-G-Sp- Rchodavaram,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
338,EG-G-Sp- Rchodavaram,BWs,0,,,,0,,,,0,,,,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
339,EG-G-Sp- Rchodavaram,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
340,EG-G-Sp- Rchodavaram,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
341,EG-G-Sp- Rchodavaram,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
342,EG-MHG-Dg- Bornagudem,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
343,EG-MHG-Dg- Bornagudem,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
344,EG-MHG-Dg- Bornagudem,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
345,EG-MHG-Dg- Bornagudem,BWs,0,,,,0,,,,0,,,,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
346,EG-MHG-Dg- Bornagudem,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
347,EG-MHG-Dg- Bornagudem,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
348,EG-MHG-Dg- Bornagudem,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
349,EG-G-Sp- Rchodavaram,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
350,EG-G-Sp- Rchodavaram,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
351,EG-G-Sp- Rchodavaram,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
352,EG-G-Sp- Rchodavaram,BWs,0,,,,0,,,,0,,,,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
353,EG-G-Sp- Rchodavaram,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
354,EG-G-Sp- Rchodavaram,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
355,EG-G-Sp- Rchodavaram,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
356,EG-MHG-Mg- Addateegala,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
357,EG-MHG-Mg- Addateegala,DW,0,,,,0,,,,0,,,,2259,15,40,90,875,6,120,240,0,4,120,240,0,,,,,,,,0,,,
358,EG-MHG-Mg- Addateegala,DW+PS/DCB,0,,,,0,,,,0,,,,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,,,,,,,0,,,
359,EG-MHG-Mg- Addateegala,BWs,0,,,,0,,,,0,,,,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,,,,,,,0,,,
360,EG-MHG-Mg- Addateegala,STW,0,,,,0,,,,0,,,,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,,,,,,,0,,,
361,EG-MHG-Mg- Addateegala,MTW,0,,,,0,,,,0,,,,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,,,,,,,0,,,
362,EG-MHG-Mg- Addateegala,Deep TW,0,,,,0,,,,0,,,,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,,,,,,,0,,,
363,EG-MHG-Mg- Addateegala,Filter Points,0,,,,0,,,,0,,,,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,,,,,,,0,,,
364,EG-G-Sb-Donkarayi,DW,,,,,,,,,,,,,2214.2857142857,,40,90,857.1428571429,,120,240,0,,120,240,,,,,,,,,,,,
365,EG-G-Sb-Donkarayi,DW+PS/DCB,,,,,,,,,,,,,3928.5714285714,,40,90,1500,,120,240,0,,120,240,,,,,,,,,,,,
366,EG-G-Sb-Donkarayi,BWs,,,,,,,,,,,,,10571.4285714286,,40,90,6642.8571428572,,120,240,5142.8571428572,,120,240,,,,,,,,,,,,
367,EG-G-Sb-Donkarayi,STW,,,,,,,,,,,,,15000,,40,90,7142.8571428572,,120,240,7142.8571428572,,120,240,,,,,,,,,,,,
368,EG-G-Sb-Donkarayi,MTW,,,,,,,,,,,,,22571.4285714286,,40,90,8571.4285714286,,120,240,8571.4285714286,,120,240,,,,,,,,,,,,
369,EG-G-Sb-Donkarayi,Deep TW,,,,,,,,,,,,,30000,,40,90,11428.5714285714,,120,240,11428.5714285714,,120,240,,,,,,,,,,,,
370,EG-G-Sb-Donkarayi,Filter Points,,,,,,,,,,,,,13000,,40,90,8142.8571428572,,120,240,6285.7142857143,,120,240,,,,,,,,,,,,
