,,,Command area,,,,,,,,,,,,Non-Command area,,,,,,,,0,,,,Poor quality,,,,,,,,,,,
Sr.No,Watershed name,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,Domestic,,,,Industrial,,,,Agriculture,,,,,,,,Industrial,,,
,,Type of well,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,yield,No.of ,Days of operation of wells          ,,,,,,yield,No.of ,Days of operation of wells          ,
,,,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,lph,wells,Monsoon,Non - Monsoon,,,,,lph,wells,Monsoon,Non - Monsoon
53,EG-MHG-Yle- Kirlampudi,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
54,EG-MHG-Yle- Kirlampudi,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
55,EG-MHG-Yle- Kirlampudi,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
56,EG-MHG-Yle- Kirlampudi,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
57,EG-MHG-ThW-Tuni,DW,2259,100,30,90,875,32,120,240,0,12,120,240,2259,15,40,90,875,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
58,EG-MHG-ThW-Tuni,DW+PS/DCB,4009,100,30,90,1531,32,120,240,0,12,120,240,4009,15,45,88,1531,6,120,240,0,4,120,240,0,,40,90,,,,,0,,120,240
59,EG-MHG-ThW-Tuni,BWs,10787,100,30,90,6778,32,120,240,5248,12,120,240,10787,15,45,90,6778,6,120,240,5248,4,120,240,5248,,40,90,,,,,5248,,120,240
60,EG-MHG-ThW-Tuni,STW,15306,100,30,90,7289,32,120,240,7289,12,120,240,15306,15,40,90,7289,6,120,240,7289,4,120,240,7289,,40,90,,,,,7289,,120,240
61,EG-MHG-ThW-Tuni,MTW,23032,100,30,90,8746,32,120,240,8746,12,120,240,23032,15,40,90,8746,6,120,240,8746,4,120,240,8746,,40,90,,,,,8746,,120,240
62,EG-MHG-ThW-Tuni,Deep TW,30612,100,30,90,11662,32,120,240,11662,12,120,240,30612,15,40,90,11662,6,120,240,11662,4,120,240,11662,,40,90,,,,,11662,,120,240
63,EG-MHG-ThW-Tuni,Filter Points,13265,100,30,90,8309,32,120,240,6414,12,120,240,13265,15,40,90,8309,6,120,240,6414,4,120,240,6414,,40,90,,,,,6414,,120,240
64,EG-G-LGD- Anparthi,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
65,EG-G-LGD- Anparthi,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
66,EG-G-LGD- Anparthi,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
67,EG-G-LGD- Anparthi,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
68,EG-G-LGD- Anparthi,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
69,EG-G-LGD- Anparthi,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
70,EG-G-LGD- Anparthi,Filter Points,13265,100,30,60,8309,32,120,245,6414,12,180,180,14577,15,30,90,4810,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
71,EG-G-LGD- Biccavole,DW,2259,100,30,60,875,32,120,245,0,12,180,180,0,15,40,90,583,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
72,EG-G-LGD- Biccavole,DW+PS/DCB,4009,100,30,60,1531,32,120,245,0,12,180,180,7872,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
73,EG-G-LGD- Biccavole,BWs,10787,100,30,60,6778,32,120,245,5248,12,180,180,12828,15,30,90,3644,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
74,EG-G-LGD- Biccavole,STW,15306,100,30,60,7289,32,120,245,7289,12,180,180,15743,15,30,90,5102,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
75,EG-G-LGD- Biccavole,MTW,23032,100,30,60,8746,32,120,245,8746,12,180,180,21866,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
76,EG-G-LGD- Biccavole,Deep TW,30612,100,30,60,11662,32,120,245,11662,12,180,180,29155,15,30,90,0,6,120,245,0,4,180,180,0,,0,0,,,,,0,,0,0
